City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
3,Hervey Bay,AU,81.03,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
6,Bauchi,NG,77.5,overcast clouds,10.5,10.0,
8,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
11,Vanimo,PG,78.6,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
12,Atuona,PF,77.92,clear sky,-9.8,-139.0333,Villa Enata
14,Dingle,PH,75.47,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
15,Panaba,MX,89.22,overcast clouds,21.2833,-88.2667,Hotel California
20,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
23,Americus,US,75.33,overcast clouds,32.0724,-84.2327,Best Western Plus Windsor Hotel
24,Cabo San Lucas,MX,89.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
32,Mount Isa,AU,78.57,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
34,Buraydah,SA,75.65,clear sky,26.326,43.975,فندق راحة السلام
35,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
44,Ixtapa,MX,86.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
50,Angoche,MZ,77.92,clear sky,-16.2325,39.9086,Guest House HESADA
79,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
81,Port-Gentil,GA,80.56,broken clouds,-0.7193,8.7815,Fengshui Residence
82,Guane,CU,82.94,overcast clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
84,Mahebourg,MU,75.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
86,Daru,PG,82.27,overcast clouds,-9.0763,143.2092,Daru Lodge
87,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
88,Catamarca,AR,83.77,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
91,Makakilo City,US,81.61,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
95,Rawson,AR,82.69,dust,-43.3002,-65.1023,Hosteria Sampedro
96,Bull Savanna,JM,81.09,scattered clouds,17.8868,-77.5902,Big Red's
97,Sao Filipe,CV,78.44,scattered clouds,14.8961,-24.4956,Hotel Xaguate
98,Tema,GH,79.21,few clouds,5.667,-0.0166,Beulah Royale Hotel Tema
99,Butaritari,KI,81.48,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
100,San Patricio,US,92.12,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
101,Oussouye,SN,84.38,overcast clouds,12.485,-16.5469,Auberge du Routard
110,Itoman,JP,75.22,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
113,Kahului,US,84.97,broken clouds,20.8947,-156.47,Maui Seaside Hotel
114,Harper,LR,77.58,overcast clouds,4.375,-7.7169,Screensaver
115,Chihuahua,MX,85.3,clear sky,28.5,-106.0,
117,San Policarpo,PH,79.74,overcast clouds,12.1791,125.5072,Agapita M. Nicart
128,Mandera,KE,84.38,clear sky,3.9366,41.867,Kornesh Hotel and Lodging
130,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
131,Gao,ML,91.42,broken clouds,16.6362,1.637,
133,Hithadhoo,MV,82.22,broken clouds,-0.6,73.0833,Scoop Guest House
136,Ambilobe,MG,75.96,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
141,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
143,Salalah,OM,76.08,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
144,Mayor Pablo Lagerenza,PY,82.17,clear sky,-19.9309,-60.7718,
145,Massaguet,TD,86.04,few clouds,12.4755,15.4365,Alwatane
155,Saint George,US,75.67,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
156,Cururupu,BR,78.04,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
158,Bosaso,SO,79.59,clear sky,11.2842,49.1816,Red Sea Hotel
160,Atar,MR,85.57,broken clouds,20.5169,-13.0499,Oumou Elghoura
163,Mapiripan,CO,80.01,moderate rain,2.8892,-72.1256,Monserrate
167,Buchanan,LR,78.76,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
168,Banyumas,ID,76.48,overcast clouds,-7.5142,109.2942,Hadipriyanto Homestay
171,Bambanglipuro,ID,77.79,overcast clouds,-7.95,110.2833,Puri Brata
172,Kavieng,PG,83.84,broken clouds,-2.5744,150.7967,Nusa Island Retreat
176,Bambous Virieux,MU,75.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
178,Puerto Escondido,MX,83.34,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
181,Inirida,CO,78.3,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
196,Tonantins,BR,79.86,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
197,Adrar,MR,84.18,few clouds,20.5022,-10.0711,
199,Tamandare,BR,77.7,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
200,Tucuman,AR,87.8,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
201,San Pedro,PH,78.03,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
203,Ler,SS,77.61,clear sky,8.3018,30.1418,
210,Bonthe,SL,78.22,light rain,7.5264,-12.505,Bonthe Holiday Village
211,Kudat,MY,75.29,few clouds,6.8837,116.8477,Dream Garden Hotel
212,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
218,Taoudenni,ML,87.28,few clouds,22.6783,-3.9836,
220,Tevaitoa,PF,77.68,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
221,Lorengau,PG,81.84,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
223,Cabedelo,BR,81.27,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
224,Hilo,US,79.11,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
225,Cayenne,GF,82.09,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
226,Emerald,AU,77.34,broken clouds,-23.5333,148.1667,The Irish Village
227,Mecca,SA,79.86,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
228,Sur,OM,81.57,clear sky,22.5667,59.5289,Sur Plaza Hotel
229,Surt,LY,76.05,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
230,Sotouboua,TG,77.04,overcast clouds,8.5667,0.9833,Auberge Médina
232,Kokopo,PG,81.39,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
238,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
242,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
244,Olinda,BR,82.13,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
245,Sulangan,PH,82.58,overcast clouds,11.1373,123.7228,Maia's Beach Resort
247,Pilar,BR,78.73,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
249,Wau,SS,78.37,few clouds,7.7029,27.9953,Universal Gab Hotel
253,Lodwar,KE,86.67,few clouds,3.1191,35.5973,Solmar Gracious Hotel
255,Beinamar,TD,76.96,broken clouds,8.6698,15.3813,
256,Bartica,GY,80.92,light rain,6.4,-58.6167,Sloth Island Nature Resort
257,Vigia Del Fuerte,CO,77.94,overcast clouds,6.5789,-76.8863,"Hotel ""El Parque"""
258,Waddan,LY,80.01,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
265,Goundam,ML,94.53,scattered clouds,16.4145,-3.6708,
