City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,2021-10-24 21:56:56,22.0752,-159.319,84.18,78,42,4.0,scattered clouds
1,Victoria,HK,2021-10-24 21:54:37,22.2855,114.1577,70.25,74,37,1.01,scattered clouds
2,Jamestown,US,2021-10-24 21:56:57,42.097,-79.2353,51.12,97,90,1.99,moderate rain
3,Hervey Bay,AU,2021-10-24 21:56:57,-25.2986,152.8535,81.03,82,28,10.09,scattered clouds
4,Leh,IN,2021-10-24 21:53:27,34.1667,77.5833,29.16,87,91,4.23,overcast clouds
5,Cape Town,ZA,2021-10-24 21:54:04,-33.9258,18.4232,59.41,68,0,3.0,clear sky
6,Bauchi,NG,2021-10-24 21:56:58,10.5,10.0,77.5,44,94,3.87,overcast clouds
7,Ushuaia,AR,2021-10-24 21:56:58,-54.8,-68.3,35.26,64,75,21.85,heavy snow
8,San Cristobal,VE,2021-10-24 21:56:59,7.7669,-72.225,75.38,70,67,2.37,broken clouds
9,Chuy,UY,2021-10-24 21:56:59,-33.6971,-53.4616,60.57,68,0,7.38,clear sky
10,Kruisfontein,ZA,2021-10-24 21:52:53,-34.0033,24.7314,50.88,81,0,3.11,clear sky
11,Vanimo,PG,2021-10-24 21:57:00,-2.6741,141.3028,78.6,88,100,4.94,overcast clouds
12,Atuona,PF,2021-10-24 21:56:14,-9.8,-139.0333,77.92,73,2,17.36,clear sky
13,Chokurdakh,RU,2021-10-24 21:57:01,70.6333,147.9167,-7.29,99,100,2.64,overcast clouds
14,Dingle,PH,2021-10-24 21:53:18,10.9995,122.6711,75.47,92,99,2.64,overcast clouds
15,Panaba,MX,2021-10-24 21:52:14,21.2833,-88.2667,89.22,57,98,10.67,overcast clouds
16,Tiksi,RU,2021-10-24 21:57:02,71.6872,128.8694,1.15,100,100,5.61,overcast clouds
17,Yantal,RU,2021-10-24 21:57:03,56.8471,105.2542,38.26,94,100,12.77,overcast clouds
18,Hobart,AU,2021-10-24 21:53:49,-42.8794,147.3294,52.02,73,75,4.0,light intensity shower rain
19,Yumen,CN,2021-10-24 21:57:03,40.2833,97.2,45.21,36,100,19.44,overcast clouds
20,Georgetown,MY,2021-10-24 21:53:04,5.4112,100.3354,77.9,94,20,3.0,few clouds
21,Swan Hill,AU,2021-10-24 21:57:04,-35.3378,143.5544,52.14,48,0,10.45,clear sky
22,Gat,IL,2021-10-24 21:57:05,31.61,34.7642,69.82,100,0,3.11,clear sky
23,Americus,US,2021-10-24 21:57:05,32.0724,-84.2327,75.33,60,100,5.75,overcast clouds
