City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,San Pedro,PH,2021-10-18 03:10:05,14.35,121.0167,83.35,80,89,13.35
1,Lebu,CL,2021-10-18 03:10:06,-37.6167,-73.65,50.0,88,0,17.94
2,Albany,US,2021-10-18 03:09:08,42.6001,-73.9662,49.95,79,63,8.93
3,Kavaratti,IN,2021-10-18 03:10:07,10.5669,72.642,81.91,77,100,14.88
4,Ust-Kulom,RU,2021-10-18 03:10:07,61.6864,53.6902,37.56,87,65,7.29
5,Dingle,PH,2021-10-18 03:10:08,10.9995,122.6711,86.13,73,31,9.51
6,Ouadda,CF,2021-10-18 03:10:08,8.0777,22.4007,67.8,94,90,2.28
7,Ushuaia,AR,2021-10-18 03:09:42,-54.8,-68.3,47.86,66,20,11.5
8,Vaini,TO,2021-10-18 03:10:09,-21.2,-175.2,80.76,83,40,11.5
9,Tanout,NE,2021-10-18 03:10:10,14.9709,8.8879,79.88,35,34,7.83
10,Atuona,PF,2021-10-18 03:10:10,-9.8,-139.0333,78.08,77,98,18.39
11,Mataura,NZ,2021-10-18 03:10:11,-46.1927,168.8643,59.02,51,47,7.56
12,Margate,GB,2021-10-18 03:10:12,51.3813,1.3862,56.91,83,100,1.99
13,Lac Du Bonnet,CA,2021-10-18 03:10:12,50.2536,-96.0612,56.59,72,6,8.39
14,San Patricio,US,2021-10-18 03:10:13,28.017,-97.5169,71.46,61,71,6.33
15,Lang Son,VN,2021-10-18 03:10:13,21.8333,106.7333,62.29,82,100,6.08
16,Cockburn Town,TC,2021-10-18 03:10:14,21.4612,-71.1419,82.36,75,39,6.26
17,Tura,IN,2021-10-18 03:10:15,25.5198,90.2201,75.99,92,97,2.48
18,Bodden Town,KY,2021-10-18 03:10:15,19.2833,-81.25,82.92,80,20,5.75
19,Pevek,RU,2021-10-18 03:10:16,69.7008,170.3133,7.05,97,99,4.18
